AUTHOR,BORN-DIED,TITLE,TECHNIQUE,LOCATION,URL,TYPE,FORM,SCHOOL,TIMEFRAME,,
"ARCHITECT, German",(active 1690s in Hesse),Exterior view,Photo,"Evangelical church, Sellnrod (Hesse)",http://www.wga.hu/art/zzzarchi/17c/1/05g_1651.jpg,architecture,other,German,1651-1700,,
"ARCHITECT, German",(active c. 1728),General view,Photo,"Schloss Augustusburg, Brühl",http://www.wga.hu/art/zzzarchi/18c/1/01g_1701.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active c. 1728),Aerial view,Photo,"Schloss Augustusburg, Brühl",http://www.wga.hu/art/zzzarchi/18c/1/01g_1702.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active c. 1720 in Hannover),Gardens,Photo,"Schloss Herrenhausen, Hannover",http://www.wga.hu/art/zzzarchi/18c/1/02g_1701.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active 1701-1711 in Kassel),General view,Photo,"Wilhelmshöhe, Kassel",http://www.wga.hu/art/zzzarchi/18c/1/03g_1701.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active around 1710 in Schleswig-Holstein),Exterior view,Photo,"Manor house, Hasselburg",http://www.wga.hu/art/zzzarchi/18c/1/04g_1701.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active around 1710 in Schleswig-Holstein),Interior view,Photo,"Manor house, Hasselburg",http://www.wga.hu/art/zzzarchi/18c/1/04g_1702.jpg,architecture,interior,German,1701-1750,,
"ARCHITECT, German",(active 1740s in Lower Rhine),General view,Photo,"Cistercian monastery, Kamp-Linfort",http://www.wga.hu/art/zzzarchi/18c/1/05g_1701.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active 1740s in Lower Rhine),General view,Photo,"Cistercian monastery, Kamp-Linfort",http://www.wga.hu/art/zzzarchi/18c/1/05g_1702.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active 1730s in Ulm),Interior view,Photo,"Library of former Benedictine Abbey, Wiblingen, Ulm",http://www.wga.hu/art/zzzarchi/18c/1/06g_1701.jpg,architecture,interior,German,1701-1750,,
"ARCHITECT, German",(active 1730s in Ulm),Interior view,Photo,"Library of former Benedictine Abbey, Wiblingen, Ulm",http://www.wga.hu/art/zzzarchi/18c/1/06g_1702.jpg,architecture,interior,German,1701-1750,,
"ARCHITECT, German",(active 1704-1734 in Württenberg),Exterior view,Photo,"Ludwigsburg Palace, Ludwigsburg",http://www.wga.hu/art/zzzarchi/18c/1/07g_1701.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active 1704-1734 in Württenberg),Exterior view,Photo,"Ludwigsburg Palace, Ludwigsburg",http://www.wga.hu/art/zzzarchi/18c/1/07g_1702.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active c. 1718 in Ludwigsburg),Exterior view,Photo,"Favorite, Ludwigsburg",http://www.wga.hu/art/zzzarchi/18c/1/07g_1703.jpg,architecture,other,German,1701-1750,,
"ARCHITECT, German",(active c. 1718 in Ludwigsburg),Exterior view,Photo,"Monrepos, near Ludwigsburg",http://www.wga.hu/art/zzzarchi/18c/1/08g_1751.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, German",(active c. 1718 in Ludwigsburg),General view,Photo,"Monrepos, near Ludwigsburg",http://www.wga.hu/art/zzzarchi/18c/1/08g_1752.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, German",(active c. 1718 in Ludwigsburg),Exterior view,Photo,"Monrepos, near Ludwigsburg",http://www.wga.hu/art/zzzarchi/18c/1/08g_1753.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, German",(active around 1710 in Schleswig-Holstein),Exterior view,Photo,"Protestant church, Rellingen",http://www.wga.hu/art/zzzarchi/18c/1/09g_1751.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, German",(active 1739-1764 in Bavaria),Exterior view,Photo,"Benedictine Abbey, Ottobeuren",http://www.wga.hu/art/zzzarchi/18c/1/10g_1751.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, German",(active 1764-1796 in Mecklenburg),Exterior view,Photo,"Ludwigslust, Mecklenburg",http://www.wga.hu/art/zzzarchi/18c/1/11g_1751.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, German",(active 1764-1796 in Mecklenburg),Exterior view,Photo,"Ludwigslust, Mecklenburg",http://www.wga.hu/art/zzzarchi/18c/1/11g_1752.jpg,architecture,other,German,1751-1800,,
"ARCHITECT, Italian",(active 11th century in Florence),Exterior view,Marble,"San Miniato al Monte, Florence",http://www.wga.hu/art/zzzarchi/11c/3/03i_1003.jpg,architecture,other,Italian,1051-1100,,
"ARCHITECT, Italian",(active 1063-1272 in Tuscany),View of the cathedral complex,Photo,"Campo dei Miracoli, Pisa (Tuscany)",http://www.wga.hu/art/zzzarchi/12c/3/06i_1101.jpg,architecture,other,Italian,1151-1200,,
"ARCHITECT, Italian",(active 1063-1272 in Tuscany),Exterior view,Photo,"Cathedral, Pisa (Tuscany)",http://www.wga.hu/art/zzzarchi/12c/3/06i_1102a.jpg,architecture,other,Italian,1151-1200,,
"ARCHITECT, Italian",(active 1063-1272 in Tuscany),Interior view,Photo,"Cathedral, Pisa (Tuscany)",http://www.wga.hu/art/zzzarchi/12c/3/06i_1103a.jpg,architecture,interior,Italian,1151-1200,,
